input,output,split
76 + 26 = ???,76 + 26 = 102,train
69 + 71 = ???,69 + 71 = 140,train
77 + 94 = ???,77 + 94 = 171,train
27 + 57 = ???,27 + 57 = 084,train
34 + 15 = ???,34 + 15 = 049,train
27 + 64 = ???,27 + 64 = 091,train
06 + 51 = ???,06 + 51 = 057,train
14 + 17 = ???,14 + 17 = 031,train
83 + 37 = ???,83 + 37 = 120,train
11 + 91 = ???,11 + 91 = 102,train
65 + 75 = ???,65 + 75 = 140,train
18 + 46 = ???,18 + 46 = 064,train
45 + 82 = ???,45 + 82 = 127,train
26 + 74 = ???,26 + 74 = 100,train
59 + 52 = ???,59 + 52 = 111,train
61 + 59 = ???,61 + 59 = 120,train
67 + 58 = ???,67 + 58 = 125,train
39 + 10 = ???,39 + 10 = 049,train
52 + 76 = ???,52 + 76 = 128,train
26 + 50 = ???,26 + 50 = 076,train
26 + 00 = ???,26 + 00 = 026,train
95 + 06 = ???,95 + 06 = 101,train
33 + 85 = ???,33 + 85 = 118,train
51 + 84 = ???,51 + 84 = 135,train
00 + 12 = ???,00 + 12 = 012,train
68 + 74 = ???,68 + 74 = 142,train
25 + 14 = ???,25 + 14 = 039,train
52 + 00 = ???,52 + 00 = 052,train
05 + 34 = ???,05 + 34 = 039,train
03 + 75 = ???,03 + 75 = 078,train
25 + 78 = ???,25 + 78 = 103,train
14 + 00 = ???,14 + 00 = 014,train
12 + 82 = ???,12 + 82 = 094,train
29 + 04 = ???,29 + 04 = 033,train
16 + 78 = ???,16 + 78 = 094,train
01 + 88 = ???,01 + 88 = 089,train
02 + 89 = ???,02 + 89 = 091,train
10 + 36 = ???,10 + 36 = 046,train
54 + 61 = ???,54 + 61 = 115,train
45 + 89 = ???,45 + 89 = 134,train
66 + 97 = ???,66 + 97 = 163,train
04 + 05 = ???,04 + 05 = 009,train
08 + 90 = ???,08 + 90 = 098,train
21 + 58 = ???,21 + 58 = 079,train
74 + 10 = ???,74 + 10 = 084,train
55 + 67 = ???,55 + 67 = 122,train
47 + 06 = ???,47 + 06 = 053,train
75 + 94 = ???,75 + 94 = 169,train
66 + 33 = ???,66 + 33 = 099,train
71 + 91 = ???,71 + 91 = 162,train
43 + 32 = ???,43 + 32 = 075,train
11 + 71 = ???,11 + 71 = 082,train
37 + 11 = ???,37 + 11 = 048,train
73 + 59 = ???,73 + 59 = 132,train
28 + 82 = ???,28 + 82 = 110,train
00 + 55 = ???,00 + 55 = 055,train
97 + 04 = ???,97 + 04 = 101,train
07 + 89 = ???,07 + 89 = 096,train
68 + 47 = ???,68 + 47 = 115,train
10 + 90 = ???,10 + 90 = 100,train
49 + 65 = ???,49 + 65 = 114,train
57 + 08 = ???,57 + 08 = 065,train
84 + 67 = ???,84 + 67 = 151,train
92 + 95 = ???,92 + 95 = 187,train
18 + 20 = ???,18 + 20 = 038,train
22 + 50 = ???,22 + 50 = 072,train
62 + 21 = ???,62 + 21 = 083,train
05 + 15 = ???,05 + 15 = 020,train
39 + 55 = ???,39 + 55 = 094,train
82 + 08 = ???,82 + 08 = 090,train
97 + 15 = ???,97 + 15 = 112,train
66 + 06 = ???,66 + 06 = 072,train
91 + 94 = ???,91 + 94 = 185,train
46 + 22 = ???,46 + 22 = 068,train
48 + 06 = ???,48 + 06 = 054,train
57 + 84 = ???,57 + 84 = 141,train
10 + 35 = ???,10 + 35 = 045,train
01 + 52 = ???,01 + 52 = 053,train
15 + 61 = ???,15 + 61 = 076,train
37 + 25 = ???,37 + 25 = 062,train
21 + 92 = ???,21 + 92 = 113,train
05 + 64 = ???,05 + 64 = 069,train
16 + 68 = ???,16 + 68 = 084,train
64 + 25 = ???,64 + 25 = 089,train
35 + 25 = ???,35 + 25 = 060,train
64 + 89 = ???,64 + 89 = 153,train
55 + 24 = ???,55 + 24 = 079,train
78 + 14 = ???,78 + 14 = 092,train
85 + 24 = ???,85 + 24 = 109,train
21 + 79 = ???,21 + 79 = 100,train
58 + 32 = ???,58 + 32 = 090,train
87 + 81 = ???,87 + 81 = 168,train
01 + 54 = ???,01 + 54 = 055,train
91 + 47 = ???,91 + 47 = 138,train
87 + 44 = ???,87 + 44 = 131,train
98 + 53 = ???,98 + 53 = 151,train
